Year,Age,Sex,mx
1844,37,Female,0.01126
1844,37,Male,0.01116
1844,38,Female,0.01214
1844,38,Male,0.01215
1844,39,Female,0.01278
1844,39,Male,0.01294
1844,40,Female,0.01299
1844,40,Male,0.01337
1844,41,Female,0.01311
1844,41,Male,0.01368
1844,42,Female,0.01288
1844,42,Male,0.01367
1844,43,Female,0.01231
1844,43,Male,0.01333
1844,44,Female,0.01206
1844,44,Male,0.01327
1844,45,Female,0.01222
1844,45,Male,0.01358
1844,46,Female,0.01256
1844,46,Male,0.01407
1844,47,Female,0.01342
1844,47,Male,0.01513
1844,48,Female,0.01489
1844,48,Male,0.01691
1844,49,Female,0.01616
1844,49,Male,0.01843
1844,50,Female,0.01684
1844,50,Male,0.01920
1844,51,Female,0.01737
1844,51,Male,0.01976
1844,52,Female,0.01743
1844,52,Male,0.01984
1844,53,Female,0.01697
1844,53,Male,0.01945
1844,54,Female,0.01704
1844,54,Male,0.01954
1844,55,Female,0.01789
1844,55,Male,0.02031
1844,56,Female,0.01905
1844,56,Male,0.02142
1844,57,Female,0.02147
1844,57,Male,0.02392
1844,58,Female,0.02601
1844,58,Male,0.02881
1844,59,Female,0.03013
1844,59,Male,0.03328
1844,60,Female,0.03241
1844,60,Male,0.03560
1844,61,Female,0.03462
1844,61,Male,0.03788
1844,62,Female,0.03503
1844,62,Male,0.03834
1844,63,Female,0.03346
1844,63,Male,0.03680
1844,64,Female,0.03393
1844,64,Male,0.03740
1844,65,Female,0.03665
1844,65,Male,0.04041
1844,66,Female,0.03970
1844,66,Male,0.04379
1844,67,Female,0.04500
1844,67,Male,0.04981
1844,68,Female,0.05452
1844,68,Male,0.06098
1844,69,Female,0.06312
1844,69,Male,0.07129
1844,70,Female,0.06810
1844,70,Male,0.07696
1844,71,Female,0.07325
1844,71,Male,0.08282
1844,72,Female,0.07677
1844,72,Male,0.08620
1844,73,Female,0.07790
1844,73,Male,0.08618
1844,74,Female,0.08130
1844,74,Male,0.08928
1844,75,Female,0.08783
1844,75,Male,0.09635
1844,76,Female,0.09474
1844,76,Male,0.10400
1844,77,Female,0.10584
1844,77,Male,0.11552
1844,78,Female,0.12537
1844,78,Male,0.13473
1844,79,Female,0.14359
1844,79,Male,0.15358
1844,80,Female,0.12359
1844,80,Male,0.13895
1844,81,Female,0.13621
1844,81,Male,0.15362
1844,82,Female,0.15033
1844,82,Male,0.17058
1844,83,Female,0.16293
1844,83,Male,0.18773
1844,84,Female,0.17668
1844,84,Male,0.20683
1844,85,Female,0.18644
1844,85,Male,0.21027
1844,86,Female,0.20109
1844,86,Male,0.22677
1844,87,Female,0.21660
1844,87,Male,0.24431
1844,88,Female,0.23297
1844,88,Male,0.26290
1844,89,Female,0.25018
1844,89,Male,0.28252
1844,90,Female,0.26825
1844,90,Male,0.30335
1844,91,Female,0.28712
1844,91,Male,0.32520
1844,92,Female,0.30680
1844,92,Male,0.34829
1844,93,Female,0.32722
1844,93,Male,0.37256
1844,94,Female,0.34851
1844,94,Male,0.39815
1844,95,Female,0.37047
1844,95,Male,0.42514
1844,96,Female,0.39285
1844,96,Male,0.45319
1844,97,Female,0.41608
1844,97,Male,0.48313
1844,98,Female,0.44010
1844,98,Male,0.51537
1844,99,Female,0.46435
1844,99,Male,0.54922
1844,100,Female,0.48957
1844,100,Male,0.58623
1844,101,Female,0.51822
1844,101,Male,0.63460
1844,102,Female,0.55167
1844,102,Male,0.69118
1844,103,Female,0.59394
1844,103,Male,0.76412
1844,104,Female,0.65340
1844,104,Male,0.93257
1844,105,Female,0.71045
1844,105,Male,1.44156
1844,106,Female,0.88033
1844,106,Male,4.20000
1844,107,Female,1.67586
1844,107,Male,NA
1844,108,Female,6.00000
1844,108,Male,NA
1844,109,Female,NA
1844,109,Male,NA
1844,110,Female,NA
1844,110,Male,NA
1845,0,Female,0.13866
1845,0,Male,0.17252
1845,1,Female,0.06004
1845,1,Male,0.06373
1845,2,Female,0.03367
1845,2,Male,0.03344
1845,3,Female,0.02314
1845,3,Male,0.02275
1845,4,Female,0.01643
1845,4,Male,0.01718
1845,5,Female,0.01231
1845,5,Male,0.01311
1845,6,Female,0.00965
1845,6,Male,0.01028
1845,7,Female,0.00744
1845,7,Male,0.00790
1845,8,Female,0.00577
1845,8,Male,0.00608
1845,9,Female,0.00472
1845,9,Male,0.00495
1845,10,Female,0.00439
1845,10,Male,0.00460
1845,11,Female,0.00441
1845,11,Male,0.00454
1845,12,Female,0.00460
1845,12,Male,0.00459
1845,13,Female,0.00498
1845,13,Male,0.00475
1845,14,Female,0.00553
1845,14,Male,0.00502
1845,15,Female,0.00620
1845,15,Male,0.00542
1845,16,Female,0.00691
1845,16,Male,0.00589
1845,17,Female,0.00757
1845,17,Male,0.00643
1845,18,Female,0.00814
1845,18,Male,0.00709
1845,19,Female,0.00857
1845,19,Male,0.00785
1845,20,Female,0.00893
1845,20,Male,0.00862
1845,21,Female,0.00923
1845,21,Male,0.00917
1845,22,Female,0.00942
1845,22,Male,0.00951
1845,23,Female,0.00941
1845,23,Male,0.00965
1845,24,Female,0.00921
1845,24,Male,0.00958
1845,25,Female,0.00908
1845,25,Male,0.00933
1845,26,Female,0.00906
